price_sensitivity,brand_preference,quality_preference,income_level,strategy,是否購買,score,reason
low,medium,medium,high,高端品牌,是,8,廣告強調品質與健康守護，加上我收入高且對價格不敏感，讓我較願意投資此類能提升生活質感的智能水瓶。
high,low,high,high,高端品牌,是,7,廣告強調健康與精準科技，符合我對高品質的要求，但我對價格敏感，除非價格合理且有可信證據才會購買。
medium,high,medium,low,高端品牌,4.0,我收入偏低且對價格敏感，除非有明顯折扣或價格合理，否則不太會買這類較高端的智能水瓶。
high,high,medium,low,高端品牌,3.0,收入低且對價格敏感，雖然品牌與健康功能有吸引力，但預計價格會超出預算所以不太會買。
low,medium,low,high,高端品牌,8.0,我收入高且對價格不敏感，加上廣告主打健康與極簡設計，符合我的需求，因此較傾向購買。
medium,high,high,medium,高端品牌,6.0,品牌與品質導向符合我的偏好，但身為中等收入且對價格有些敏感，若價格合理我會購買。
medium,low,medium,high,高端品牌,7.0,廣告凸顯健康監測與精準科技，對我這種高收入且不太在意品牌但重視功能與設計的人有吸引力，但價格敏感度中讓我不會給出更高分。
high,medium,high,high,高端品牌,7.0,我偏好高品質且有能力購買，但價格敏感，若售價合理且技術與評價可靠，我較有意願購買。
low,low,high,medium,高端品牌,8.0,我收入中等且偏好高品質，廣告主打的精準科技與全天守護切合我重視的健康與品質需求，使我傾向購買（但會先確認實際效能）。
medium,high,low,low,高端品牌,6.0,我偏好品牌且廣告強調健康，但我的收入偏低，價格會讓我猶豫。
high,high,high,high,高端品牌,8.0,廣告強調高品質與品牌形象，符合我的高品質與品牌偏好，雖然價格敏感讓我有些猶豫，但高收入使我願意為優質產品付費。
low,high,high,high,高端品牌,8.0,廣告突顯高品質與健康守護，加上我偏好品牌且對價格不敏感，使我較有購買意願。
high,medium,low,medium,社群推薦,是,6,社群熱度與功能訴求吸引我，但因我對價格敏感，僅略傾向購買。
medium,high,high,high,社群推薦,是,8,因為我收入較高且偏好品牌與高品質，廣告強調的口碑與養成喝水習慣對我有吸引力。
low,high,high,low,社群推薦,是,6,廣告的品牌與功能訴求符合我對品質與時尚的偏好，且我對價格不太敏感，但因收入較低會在沒有折扣或確認實用性前保持謹慎。
high,high,high,high,社群推薦,是,6,我收入高但對價格敏感，若為知名且評價良好的品牌且功能實用，我會考慮購買。
medium,low,medium,medium,社群推薦,是,6,廣告有誇大成分，但我收入與價格敏感度為中等，若價格合理且提醒功能實用，會稍微傾向購買。
low,high,medium,medium,社群推薦,是,7,廣告與網紅推薦、我對品牌接受度高且不太在意價格，提醒喝水的功能吸引我，但對實際效果與耐用度仍有些疑慮。
low,medium,low,medium,社群推薦,是,7,廣告有網紅背書與實用的喝水提醒功能，我收入中等且價格敏感度低，較願意嘗試但廣告略顯誇張所以不是百分之百確定。
medium,high,medium,high,社群推薦,是,7,廣告強調提醒喝水並能養成習慣，對健康有幫助，加上我收入較高且偏好知名品牌，價格不是主要顧慮。
medium,medium,medium,high,社群推薦,是,6,廣告功能切合我想要的健康提醒，且我收入較高、價格敏感度中等，願意嘗試但對行銷誇大保留。
low,low,medium,high,社群推薦,是,7,我收入高且不太在意價格，廣告訴求符合願意養成喝水習慣的需求，但我對實際效果與品質仍需更多資訊才會完全下單。
high,medium,high,low,社群推薦,否,3,我收入低且對價格敏感，雖然重視品質，但廣告誇大效果且價格可能太高，我不太會買。
medium,high,low,low,社群推薦,否,4,廣告說得不錯，但我收入不高且對價格較謹慎，除非是熟悉的大品牌或有折扣，否則不太會買。
low,low,low,medium,社群推薦,是,6,廣告強調活力與習慣養成，加上我對價格與品牌不太敏感且收入中等，因此較傾向嘗試購買。
medium,low,low,high,社群推薦,是,7,我收入高且價格敏感度中等，覺得提醒喝水的功能實用但網紅宣傳誇張，綜合給七分。
high,low,medium,low,社群推薦,否,4,因為我收入較低且對價格非常敏感，雖然廣告說能提振活力但若售價偏高我不太會買。
medium,medium,low,low,社群推薦,否,4,廣告說得很吸引但可能誇大，且我收入有限且對價格敏感，除非有明顯折扣或試用，否則不會下單。
high,medium,medium,low,社群推薦,否,4,我收入低且對價格很敏感，覺得功能雖吸引但對我來說不夠划算，因此不會購買。
low,medium,high,high,社群推薦,是,8,收入較高且不太在意價格、重視品質，廣告強調提醒喝水與好評，使我較傾向購買。
low,medium,medium,high,社群推薦,是,7,我收入高、對價格不敏感，廣告主打提醒與習慣養成符合我需求，因此我傾向購買並願意嘗試。
high,low,high,high,社群推薦,是,7,我收入高但價格敏感、重視品質且不太在意品牌；若功能可靠且價格合理，我會傾向購買。
medium,high,medium,low,社群推薦,4.0,我收入較低且這類提醒喝水的智能水瓶屬非必需品，除非是熟悉品牌且價格合理，否則我較不願意購買。
high,high,medium,low,社群推薦,3.0,雖然廣告和網紅推薦讓我有購買衝動，但我收入低且對價格很敏感，除非價格很優惠，否則不會買。
low,medium,low,high,社群推薦,7.0,我收入高且不太在意價格，廣告訴求（習慣養成與提升日常活力）對我有吸引力，因此較傾向購買。
medium,high,high,medium,社群推薦,7.0,廣告強調的好評與養成習慣符合我對品牌與品質的偏好，吸引我但中等收入與價格敏感度會讓我在價格與實際需要上再三考量。
medium,low,medium,high,社群推薦,7.0,我收入較高且願為便利與健康投入，若智能水瓶功能可靠且價格合理，這類產品值得一試。
high,medium,high,high,社群推薦,5.0,廣告說法吸引但證據不足；我有能力買但對價格敏感，若無明確品質保證或良好評價會選擇觀望。
low,low,high,medium,社群推薦,8.0,我重視品質且對價格不敏感，若這款真的能提神並幫我養成喝水習慣，我會願意購買。
medium,high,low,low,社群推薦,6.0,廠牌吸引我，但因為收入低且對價格有顧慮，只有在促銷或價格合理時才會購買。
high,high,high,high,社群推薦,6.0,我收入高但價格敏感，會為了知名品牌與品質付費並傾向試買智慧水瓶，但對廣告誇大效果保持保留，需更多實證才會完全下定決心。
low,high,high,high,社群推薦,7.0,我收入高且重視品牌與品質，廣告正面口碑吸引我，但缺乏具體證據與評測，若是知名大品牌或有良好實評我會下單。
high,medium,low,medium,訊息轟炸,否,5,折扣有吸引力但我價格敏感且不太在意高端功能，會先觀望再決定。
medium,high,high,high,訊息轟炸,是,8,高端設計與精準功能符合我的品質與品牌偏好，加上七折促銷使我較有購買意願。
low,high,high,low,訊息轟炸,是,6,我偏好高品質與品牌、促銷有吸引力，但收入有限可能讓我最後有些猶豫。
high,high,high,high,訊息轟炸,是,8,我收入高且偏好品牌與品質，看到大幅折扣與良好評價會提升購買意願，但我仍對價格敏感所以不會給滿分。
medium,low,medium,medium,訊息轟炸,是,6,考量我中等收入與中等價格敏感度，30%折扣與實用的提醒功能讓我略偏向嘗試但仍謹慎。
low,high,medium,medium,訊息轟炸,是,7,我偏好品牌且對價格不太敏感，30%折扣提高吸引力，但我對產品品質僅抱中等期待且收入中等，因此評為7分。
low,medium,low,medium,訊息轟炸,是,7,七折促銷加上補水提醒與便利設計，且我對價格不太敏感，綜合來說值得嘗試。
medium,high,medium,high,訊息轟炸,是,8,我收入高且重視品牌與設計，限定三成折扣與精準科技使這款具高端形象的智能水瓶對我很有吸引力，較有購買意願。
medium,medium,medium,high,訊息轟炸,是,7,廣告訴求高端設計與精準科技，加上限時7折促銷與我較高的收入，使我較容易下單但仍受最終售價與保障影響。
low,low,medium,high,訊息轟炸,是,8,我收入高且對價格敏感度低，廣告的高端設計與七折促銷提高誘因，但我會在確認功能與品質真實可信後才正式下單。
high,medium,high,low,訊息轟炸,否,4,雖然產品看起來品質與評價不錯且有7折吸引，但我收入低又很在意價格，折扣仍不足以讓我願意下單。
medium,high,low,low,訊息轟炸,是,6,我收入有限但很在意品牌，加上七折促銷與多數好評，使我稍微傾向購買。
low,low,low,medium,訊息轟炸,是,7,七折促銷加上看似實用的提醒功能，且我對價格不太敏感，因而傾向嘗試購買。
medium,low,low,high,訊息轟炸,是,6,我收入高且對品牌品質不挑，7折促銷與健康訴求讓我稍微傾向嘗試購買。
high,low,medium,low,訊息轟炸,否,3,我收入有限又很在意價格，即使七折也可能超出預算，非必需品所以不太會買。
medium,medium,low,low,訊息轟炸,否,5,收入有限、雖然七折吸引人但對我來說仍偏貴且屬非必要開支。
high,medium,medium,low,訊息轟炸,否,4,價格仍偏高，手頭拮据且只想買必需品。
low,medium,high,high,訊息轟炸,是,9,我收入較高且重視高品質，這款結合高端設計與精準科技的智慧水瓶很符合我的需求與品味，因此有很高購買意願。
low,medium,medium,high,訊息轟炸,是,8,我收入高且對價格不敏感，廣告所述的高端設計、健康提醒與良好評價符合我提升生活品質的期待，因此傾向購買。
high,low,high,high,訊息轟炸,是,7,廣告突顯高階設計與精準科技，加上七折促銷，符合我重視品質但也在意價格的偏好，因此我較傾向購買。
medium,high,medium,low,訊息轟炸,4.0,我收入偏低且折扣/實際價格與品牌不夠清楚，雖然廣告強調設計與科技，但這些不足以說服我現在購買。
high,high,medium,low,訊息轟炸,4.0,我收入低且對價格非常敏感，雖然品牌看起來不錯但預算限制讓我偏向不買。
low,medium,low,high,訊息轟炸,8.0,我收入高且對價格不敏感，廣告的設計與限時促銷讓我有較強購買意願。
medium,high,high,medium,訊息轟炸,7.0,我偏好高品質與品牌，廣告強調設計與精準技術且有好評與限時7折，對我有吸引力但中等收入與價格敏感讓我保持謹慎。
medium,low,medium,high,訊息轟炸,6.0,廣告吸引且符合我高收入且不太在意品牌的偏好，但規格與售後資訊不足，需更多細節才會完全下決定。
high,medium,high,high,訊息轟炸,7.0,雖然我對價格敏感，但作為重視高品質且收入高的人，7折優惠加上廣告所強調的高端設計、精準技術與多數好評使我較傾向購買。
low,low,high,medium,訊息轟炸,7.0,我重視品質且對價格不太敏感，加上30%限時折扣使我傾向購買，但會想再確認使用者評價與保固。
medium,high,low,low,訊息轟炸,4.0,我收入較低、這是非必需商品，雖然有7折和品牌吸引，但還是比較不會花錢買。
high,high,high,high,訊息轟炸,7.0,我收入高且偏好高品質與品牌，但價格敏感；若品牌可信且功能真實，30% 折扣會讓我傾向購買。
low,high,high,high,訊息轟炸,8.0,廣告符合我對高品質與品牌的偏好，加上限時折扣具吸引力，因此我較傾向購買。
